               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11016,            0.027241,                   0,              0.0025,             0.17143,           0.0024034,          0.00060381,            0.053733,            0.017679,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.087673,            0.021769,                   0,           0.0023333,                 0.4,            0.036672,           0.0083187,            0.048247,            0.012863,                   0,            0.054283,            0.003283,            0.003283
                   2,            0.074971,             0.02088,                   0,             0.39673,             0.31429,             0.26241,            0.088016,            0.042385,             0.01168,                   0,            0.028516,            0.002516,            0.002516
